"rowid","orderid","orderdate","sales","quantity","discount","profit","shipdate","customerid","shipmentid"
99,"CA-2016-149223","2016-09-06","77.88",6,"0.00","22.59","2016-09-11","ER-13855",2
100,"CA-2016-158568","2016-08-29","64.62",7,"0.20","22.62","2016-09-02","RB-19465",2
101,"CA-2016-158568","2016-08-29","95.98",3,"0.20","-10.80","2016-09-02","RB-19465",2
102,"CA-2016-158568","2016-08-29","1.79",3,"0.80","-3.04","2016-09-02","RB-19465",2
103,"CA-2016-129903","2016-12-01","23.92",4,"0.00","11.72","2016-12-04","GZ-14470",4
104,"US-2015-156867","2015-11-13","238.90",6,"0.20","-26.88","2015-11-17","LC-16870",2
105,"US-2015-156867","2015-11-13","102.36",3,"0.20","-3.84","2015-11-17","LC-16870",2
106,"US-2015-156867","2015-11-13","36.88",3,"0.70","-25.82","2015-11-17","LC-16870",2
107,"CA-2017-119004","2017-11-23","74.11",8,"0.20","17.60","2017-11-28","JM-15250",2
108,"CA-2017-119004","2017-11-23","27.99",1,"0.20","2.10","2017-11-28","JM-15250",2
109,"CA-2017-119004","2017-11-23","3.30",1,"0.20","1.07","2017-11-28","JM-15250",2
110,"CA-2015-129476","2015-10-15","339.96",5,"0.20","67.99","2015-10-20","PA-19060",2
111,"CA-2017-146780","2017-12-25","41.96",2,"0.00","10.91","2017-12-30","CV-12805",2
112,"CA-2016-128867","2016-11-03","75.96",2,"0.00","22.79","2016-11-10","CL-12565",2
113,"CA-2016-128867","2016-11-03","27.24",6,"0.00","13.35","2016-11-10","CL-12565",2
114,"CA-2014-115259","2014-08-25","40.10",14,"0.20","14.53","2014-08-27","RC-19960",4
115,"CA-2014-115259","2014-08-25","4.72",2,"0.20","1.65","2014-08-27","RC-19960",4
116,"CA-2014-115259","2014-08-25","23.98",3,"0.20","7.49","2014-08-27","RC-19960",4
117,"CA-2014-115259","2014-08-25","130.46",6,"0.20","44.03","2014-08-27","RC-19960",4
118,"CA-2015-110457","2015-03-02","787.53",3,"0.00","165.38","2015-03-06","DK-13090",2
119,"US-2015-136476","2015-04-05","157.79",1,"0.70","-115.72","2015-04-10","GG-14650",2
120,"CA-2016-103730","2016-06-12","47.04",3,"0.00","18.35","2016-06-15","SC-20725",1
121,"CA-2016-103730","2016-06-12","30.84",4,"0.00","13.88","2016-06-15","SC-20725",1
122,"CA-2016-103730","2016-06-12","226.56",6,"0.00","63.44","2016-06-15","SC-20725",1
123,"CA-2016-103730","2016-06-12","115.02",9,"0.00","51.76","2016-06-15","SC-20725",1
124,"CA-2016-103730","2016-06-12","68.04",7,"0.00","19.73","2016-06-15","SC-20725",1
125,"US-2014-152030","2014-12-26","600.56",3,"0.30","-8.58","2014-12-28","AD-10180",4
126,"US-2014-134614","2014-09-20","617.70",6,"0.50","-407.68","2014-09-25","PF-19165",2
316,"CA-2014-167850","2014-08-09","15.55",3,"0.20","5.44","2014-08-16","AG-10525",2
127,"US-2017-107272","2017-11-05","2.39",2,"0.70","-1.83","2017-11-12","TS-21610",2
128,"US-2017-107272","2017-11-05","243.99",7,"0.20","30.50","2017-11-12","TS-21610",2
129,"US-2016-125969","2016-11-06","81.42",2,"0.20","-9.16","2016-11-10","LS-16975",4
130,"US-2016-125969","2016-11-06","238.56",3,"0.00","26.24","2016-11-10","LS-16975",4
131,"US-2017-164147","2017-02-02","59.97",5,"0.40","-11.99","2017-02-05","DW-13585",1
132,"US-2017-164147","2017-02-02","78.30",2,"0.20","29.36","2017-02-05","DW-13585",1
133,"US-2017-164147","2017-02-02","21.46",9,"0.20","6.97","2017-02-05","DW-13585",1
134,"CA-2016-145583","2016-10-13","20.04",3,"0.00","9.62","2016-10-19","LC-16885",2
135,"CA-2016-145583","2016-10-13","35.44",1,"0.00","16.66","2016-10-19","LC-16885",2
136,"CA-2016-145583","2016-10-13","11.52",4,"0.00","3.46","2016-10-19","LC-16885",2
137,"CA-2016-145583","2016-10-13","4.02",2,"0.00","1.97","2016-10-19","LC-16885",2
138,"CA-2016-145583","2016-10-13","76.18",3,"0.20","26.66","2016-10-19","LC-16885",2
139,"CA-2016-145583","2016-10-13","65.88",6,"0.00","18.45","2016-10-19","LC-16885",2
140,"CA-2016-145583","2016-10-13","43.12",14,"0.00","20.70","2016-10-19","LC-16885",2
141,"CA-2016-110366","2016-09-05","82.80",2,"0.20","10.35","2016-09-07","JD-15895",4
142,"CA-2017-106180","2017-09-18","8.82",3,"0.00","2.38","2017-09-23","SH-19975",2
143,"CA-2017-106180","2017-09-18","10.86",3,"0.00","5.10","2017-09-23","SH-19975",2
144,"CA-2017-106180","2017-09-18","143.70",3,"0.00","68.98","2017-09-23","SH-19975",2
145,"CA-2017-155376","2017-12-22","839.43",3,"0.00","218.25","2017-12-27","SG-20080",2
146,"CA-2015-110744","2015-09-07","671.93",7,"0.00","20.16","2015-09-12","HA-14920",2
147,"CA-2014-110072","2014-10-22","93.89",4,"0.20","12.91","2014-10-28","MG-17680",2
148,"CA-2016-114489","2016-12-05","384.45",11,"0.00","103.80","2016-12-09","JE-16165",2
149,"CA-2016-114489","2016-12-05","149.97",3,"0.00","6.00","2016-12-09","JE-16165",2
150,"CA-2016-114489","2016-12-05","1951.84",8,"0.00","585.55","2016-12-09","JE-16165",2
151,"CA-2016-114489","2016-12-05","171.55",5,"0.00","80.63","2016-12-09","JE-16165",2
152,"CA-2016-158834","2016-03-13","157.92",5,"0.20","17.77","2016-03-16","TW-21025",1
153,"CA-2016-158834","2016-03-13","203.18",2,"0.20","15.24","2016-03-16","TW-21025",1
154,"CA-2015-124919","2015-05-31","58.38",7,"0.00","26.27","2015-06-02","SP-20650",1
155,"CA-2015-124919","2015-05-31","105.52",4,"0.00","48.54","2015-06-02","SP-20650",1
156,"CA-2015-124919","2015-05-31","80.88",6,"0.00","21.03","2015-06-02","SP-20650",1
157,"CA-2015-118948","2015-05-28","6.63",3,"0.00","1.79","2015-06-03","NK-18490",2
158,"CA-2014-104269","2014-03-01","457.57",2,"0.20","51.48","2014-03-06","DB-13060",4
159,"CA-2016-114104","2016-11-20","14.62",2,"0.00","6.87","2016-11-24","NP-18670",2
160,"CA-2016-114104","2016-11-20","944.93",7,"0.00","236.23","2016-11-24","NP-18670",2
161,"CA-2016-162733","2016-05-11","5.98",1,"0.00","2.69","2016-05-12","TT-21070",1
162,"CA-2015-119697","2015-12-28","54.38",2,"0.20","1.36","2015-12-31","EM-13960",4
163,"CA-2016-154508","2016-11-16","28.40",5,"0.00","13.35","2016-11-20","RD-19900",2
164,"CA-2016-113817","2016-11-07","27.68",2,"0.20","9.69","2016-11-11","MJ-17740",2
165,"CA-2014-139892","2014-09-08","9.94",3,"0.20","2.73","2014-09-12","BM-11140",2
166,"CA-2014-139892","2014-09-08","8159.95",8,"0.40","-1359.99","2014-09-12","BM-11140",2
167,"CA-2014-139892","2014-09-08","275.93",3,"0.20","-58.63","2014-09-12","BM-11140",2
168,"CA-2014-139892","2014-09-08","1740.06",9,"0.30","-24.86","2014-09-12","BM-11140",2
169,"CA-2014-139892","2014-09-08","32.06",6,"0.20","6.81","2014-09-12","BM-11140",2
170,"CA-2014-139892","2014-09-08","177.98",5,"0.80","-453.85","2014-09-12","BM-11140",2
171,"CA-2014-139892","2014-09-08","143.98",3,"0.20","9.00","2014-09-12","BM-11140",2
172,"CA-2014-118962","2014-08-05","20.94",3,"0.00","9.84","2014-08-09","CS-12130",2
173,"CA-2014-118962","2014-08-05","110.96",2,"0.00","53.26","2014-08-09","CS-12130",2
174,"CA-2014-118962","2014-08-05","340.14",7,"0.20","21.26","2014-08-09","CS-12130",2
175,"US-2014-100853","2014-09-14","52.45",2,"0.80","-131.12","2014-09-19","JB-15400",2
176,"US-2014-100853","2014-09-14","20.16",4,"0.20","6.55","2014-09-19","JB-15400",2
177,"US-2017-152366","2017-04-21","97.26",4,"0.80","-243.16","2017-04-25","SJ-20500",4
178,"US-2015-101511","2015-11-21","396.80",7,"0.30","-11.34","2015-11-23","JE-15745",4
179,"US-2015-101511","2015-11-21","15.88",5,"0.20","-3.77","2015-11-23","JE-15745",4
180,"CA-2015-137225","2015-12-15","3.28",1,"0.00","1.41","2015-12-19","JK-15640",2
181,"CA-2014-166191","2014-12-05","24.82",2,"0.20","1.86","2014-12-09","DK-13150",4
182,"CA-2014-166191","2014-12-05","","","","","2014-12-09","DK-13150",4
183,"CA-2014-158274","2014-11-19","503.96",4,"0.00","131.03","2014-11-24","RM-19675",4
184,"CA-2014-158274","2014-11-19","149.95",5,"0.00","41.99","2014-11-24","RM-19675",4
185,"CA-2014-158274","2014-11-19","29.00",2,"0.00","7.25","2014-11-24","RM-19675",4
186,"CA-2016-105018","2016-11-28","7.16",2,"0.00","3.44","2016-12-02","SK-19990",2
187,"CA-2014-123260","2014-08-26","176.80",8,"0.00","22.98","2014-08-30","FM-14290",2
188,"CA-2016-157000","2016-07-16","37.22",3,"0.20","3.72","2016-07-22","AM-10360",2
189,"CA-2016-157000","2016-07-16","20.02",3,"0.20","6.26","2016-07-22","AM-10360",2
190,"CA-2015-102281","2015-10-12","899.14",4,"0.20","112.39","2015-10-14","MP-17470",1
191,"CA-2015-102281","2015-10-12","71.76",6,"0.00","20.09","2015-10-14","MP-17470",1
192,"CA-2015-102281","2015-10-12","51.84",8,"0.00","24.88","2015-10-14","MP-17470",1
193,"CA-2015-102281","2015-10-12","626.35",3,"0.20","46.98","2015-10-14","MP-17470",1
194,"CA-2015-102281","2015-10-12","19.90",5,"0.00","6.57","2015-10-14","MP-17470",1
195,"CA-2015-131457","2015-10-31","14.28",7,"0.00","6.71","2015-11-06","MZ-17515",2
196,"CA-2014-140004","2014-03-21","7.41",2,"0.20","1.20","2014-03-25","CB-12025",2
197,"CA-2014-140004","2014-03-21","6.05",3,"0.20","1.59","2014-03-25","CB-12025",2
198,"CA-2017-107720","2017-11-06","46.26",3,"0.00","12.03","2017-11-13","VM-21685",2
199,"US-2017-124303","2017-07-06","2.95",2,"0.70","-2.26","2017-07-13","FH-14365",2
200,"US-2017-124303","2017-07-06","16.06",3,"0.20","5.82","2017-07-13","FH-14365",2
201,"CA-2017-105074","2017-06-24","21.74",3,"0.20","6.80","2017-06-29","MB-17305",2
202,"CA-2014-133690","2014-08-03","218.75",2,"0.50","-161.88","2014-08-05","BS-11755",1
203,"CA-2014-133690","2014-08-03","2.60",1,"0.20","0.29","2014-08-05","BS-11755",1
204,"US-2017-116701","2017-12-17","66.28",2,"0.80","-178.97","2017-12-21","LC-17140",4
205,"CA-2017-126382","2017-06-03","35.17",7,"0.20","9.67","2017-06-07","HK-14890",2
206,"CA-2017-108329","2017-12-09","444.77",4,"0.20","44.48","2017-12-14","LE-16810",2
207,"CA-2017-135860","2017-12-01","83.92",4,"0.00","5.87","2017-12-07","JH-15985",2
208,"CA-2017-135860","2017-12-01","131.98",2,"0.00","35.63","2017-12-07","JH-15985",2
209,"CA-2017-135860","2017-12-01","15.92",4,"0.00","7.48","2017-12-07","JH-15985",2
210,"CA-2017-135860","2017-12-01","52.29",9,"0.00","16.21","2017-12-07","JH-15985",2
211,"CA-2017-135860","2017-12-01","91.99",1,"0.00","3.68","2017-12-07","JH-15985",2
212,"CA-2015-101007","2015-02-09","20.80",2,"0.20","6.50","2015-02-13","MS-17980",4
213,"CA-2015-146262","2015-01-02","23.68",2,"0.20","8.88","2015-01-09","VW-21775",2
214,"CA-2015-146262","2015-01-02","452.45",5,"0.50","-244.32","2015-01-09","VW-21775",2
215,"CA-2015-146262","2015-01-02","62.98",3,"0.40","-14.70","2015-01-09","VW-21775",2
216,"CA-2015-146262","2015-01-02","1188.00",9,"0.70","-950.40","2015-01-09","VW-21775",2
217,"CA-2015-146262","2015-01-02","89.58",2,"0.20","4.48","2015-01-09","VW-21775",2
218,"CA-2016-130162","2016-10-28","93.06",6,"0.00","26.06","2016-11-01","JH-15910",2
219,"CA-2016-130162","2016-10-28","302.38",3,"0.20","22.68","2016-11-01","JH-15910",2
220,"CA-2015-169397","2015-12-24","5.58",2,"0.20","1.81","2015-12-27","JB-15925",1
221,"CA-2015-169397","2015-12-24","22.70",6,"0.20","8.23","2015-12-27","JB-15925",1
222,"CA-2015-169397","2015-12-24","19.78",4,"0.70","-13.84","2015-12-27","JB-15925",1
223,"CA-2015-169397","2015-12-24","72.70",4,"0.20","19.08","2015-12-27","JB-15925",1
224,"CA-2015-169397","2015-12-24","479.99",4,"0.70","-383.99","2015-12-27","JB-15925",1
225,"CA-2015-169397","2015-12-24","27.17",2,"0.20","2.72","2015-12-27","JB-15925",1
226,"CA-2015-163055","2015-08-09","2.20",1,"0.00","0.97","2015-08-16","DS-13180",2
227,"CA-2015-163055","2015-08-09","622.45",5,"0.00","136.94","2015-08-16","DS-13180",2
228,"CA-2015-163055","2015-08-09","21.98",1,"0.00","0.22","2015-08-16","DS-13180",2
229,"US-2015-145436","2015-02-28","161.57",2,"0.20","-28.27","2015-03-04","VD-21670",2
230,"US-2015-145436","2015-02-28","389.70",8,"0.20","43.84","2015-03-04","VD-21670",2
231,"US-2014-156216","2014-09-13","18.65",7,"0.70","-12.43","2014-09-17","EA-14035",2
232,"US-2017-100930","2017-04-07","233.86",2,"0.45","-102.05","2017-04-12","CS-12400",2
233,"US-2017-100930","2017-04-07","620.61",3,"0.45","-248.25","2017-04-12","CS-12400",2
234,"US-2017-100930","2017-04-07","5.33",2,"0.70","-3.55","2017-04-12","CS-12400",2
235,"US-2017-100930","2017-04-07","258.07",3,"0.20","0.00","2017-04-12","CS-12400",2
236,"US-2017-100930","2017-04-07","617.98",3,"0.20","-7.72","2017-04-12","CS-12400",2
237,"CA-2017-160514","2017-11-12","10.56",2,"0.00","4.75","2017-11-16","DB-13120",2
238,"CA-2016-157749","2016-06-04","25.92",5,"0.20","9.40","2016-06-09","KL-16645",4
239,"CA-2016-157749","2016-06-04","419.68",5,"0.60","-356.73","2016-06-09","KL-16645",4
240,"CA-2016-157749","2016-06-04","11.69",3,"0.60","-4.68","2016-06-09","KL-16645",4
241,"CA-2016-157749","2016-06-04","31.98",2,"0.20","11.19","2016-06-09","KL-16645",4
242,"CA-2016-157749","2016-06-04","177.23",5,"0.50","-120.51","2016-06-09","KL-16645",4
243,"CA-2016-157749","2016-06-04","4.04",3,"0.60","-2.83","2016-06-09","KL-16645",4
244,"CA-2016-157749","2016-06-04","7.41",2,"0.20","1.20","2016-06-09","KL-16645",4
245,"CA-2014-131926","2014-06-01","2001.86",7,"0.00","580.54","2014-06-06","DW-13480",4
246,"CA-2014-131926","2014-06-01","166.72",2,"0.00","41.68","2014-06-06","DW-13480",4
247,"CA-2014-131926","2014-06-01","47.88",6,"0.00","23.94","2014-06-06","DW-13480",4
248,"CA-2014-131926","2014-06-01","1503.25",5,"0.00","496.07","2014-06-06","DW-13480",4
249,"CA-2014-131926","2014-06-01","25.92",4,"0.00","12.44","2014-06-06","DW-13480",4
250,"CA-2016-154739","2016-12-10","321.57",2,"0.20","28.14","2016-12-15","LH-17155",4
251,"CA-2016-145625","2016-09-11","7.61",1,"0.00","3.58","2016-09-17","KC-16540",2
252,"CA-2016-145625","2016-09-11","3347.37",13,"0.00","636.00","2016-09-17","KC-16540",2
253,"CA-2016-146941","2016-12-10","80.58",6,"0.00","22.56","2016-12-13","DL-13315",1
254,"CA-2016-146941","2016-12-10","361.92",4,"0.00","162.86","2016-12-13","DL-13315",1
255,"US-2015-159982","2015-11-28","12.13",9,"0.60","-8.49","2015-12-04","DR-12880",2
256,"US-2015-159982","2015-11-28","82.37",2,"0.20","-19.56","2015-12-04","DR-12880",2
257,"US-2015-159982","2015-11-28","53.92",5,"0.20","4.04","2015-12-04","DR-12880",2
258,"US-2015-159982","2015-11-28","647.90",6,"0.20","56.69","2015-12-04","DR-12880",2
259,"CA-2017-163139","2017-12-01","20.37",3,"0.00","6.93","2017-12-03","CC-12670",4
260,"CA-2017-163139","2017-12-01","221.55",3,"0.00","6.65","2017-12-03","CC-12670",4
261,"CA-2017-163139","2017-12-01","17.52",5,"0.20","6.13","2017-12-03","CC-12670",4
262,"US-2017-155299","2017-06-08","1.62",2,"0.80","-4.47","2017-06-12","Dl-13600",2
263,"US-2014-106992","2014-09-19","3059.98",3,"0.40","-510.00","2014-09-21","SB-20290",4
264,"US-2014-106992","2014-09-19","2519.96",7,"0.40","-252.00","2014-09-21","SB-20290",4
265,"CA-2016-125318","2016-06-06","328.22",4,"0.20","28.72","2016-06-13","RC-19825",2
266,"CA-2015-155040","2015-11-10","79.90",2,"0.00","35.16","2015-11-15","AH-10210",2
267,"CA-2017-136826","2017-06-16","14.02",3,"0.20","4.73","2017-06-20","CB-12535",2
268,"CA-2016-111010","2016-01-22","7.56",6,"0.00","0.30","2016-01-28","PG-18895",2
269,"US-2017-145366","2017-12-09","37.21",1,"0.20","-7.44","2017-12-13","CA-12310",2
270,"US-2017-145366","2017-12-09","57.58",3,"0.20","21.59","2017-12-13","CA-12310",2
271,"CA-2017-163979","2017-12-28","725.84",4,"0.00","210.49","2018-01-02","KH-16690",4
272,"CA-2015-155334","2015-07-30","209.93",7,"0.00","92.37","2015-07-31","HA-14920",1
273,"CA-2015-155334","2015-07-30","5.28",3,"0.00","2.32","2015-07-31","HA-14920",1
274,"CA-2015-155334","2015-07-30","10.92",3,"0.20","4.10","2015-07-31","HA-14920",1
275,"CA-2017-118136","2017-09-16","8.82",2,"0.00","4.06","2017-09-17","BB-10990",1
276,"CA-2017-118136","2017-09-16","5.98",1,"0.00","1.55","2017-09-17","BB-10990",1
277,"CA-2017-132976","2017-10-13","11.65",2,"0.20","4.08","2017-10-17","AG-10495",2
278,"CA-2017-132976","2017-10-13","18.18",4,"0.20","5.91","2017-10-17","AG-10495",2
279,"CA-2017-132976","2017-10-13","59.71",6,"0.20","5.97","2017-10-17","AG-10495",2
280,"CA-2017-132976","2017-10-13","24.84",3,"0.20","8.69","2017-10-17","AG-10495",2
281,"US-2015-161991","2015-09-26","2.08",5,"0.80","-3.43","2015-09-28","SC-20725",4
282,"US-2015-161991","2015-09-26","1114.40",7,"0.20","376.11","2015-09-28","SC-20725",4
