"city","postalcode","stateid","citypostalcodekey"
"Dallas","75217",42,"Dallas-75217"
"San Francisco","94109",4,"San Francisco-94109"
"Hoover","35244",1,"Hoover-35244"
"Holland","49423",21,"Holland-49423"
"West Palm Beach","33407",9,"West Palm Beach-33407"
"Greenwood","46142",13,"Greenwood-46142"
"Hollywood","33021",9,"Hollywood-33021"
"Longview","98632",46,"Longview-98632"
"Rancho Cucamonga","91730",4,"Rancho Cucamonga-91730"
"Louisville","40214",16,"Louisville-40214"
"Everett","2149",20,"Everett-2149"
"Mobile","36608",1,"Mobile-36608"
"Saint Paul","55106",22,"Saint Paul-55106"
"College Station","77840",42,"College Station-77840"
"Fayetteville","72701",3,"Fayetteville-72701"
"Wilmington","28403",32,"Wilmington-28403"
"Bridgeton","8302",29,"Bridgeton-8302"
"Deltona","32725",9,"Deltona-32725"
"Jacksonville","32216",9,"Jacksonville-32216"
"Roseville","48066",21,"Roseville-48066"
"Texarkana","71854",3,"Texarkana-71854"
"Moreno Valley","92553",4,"Moreno Valley-92553"
"Portage","46368",13,"Portage-46368"
"Coral Gables","33134",9,"Coral Gables-33134"
"Franklin","37064",41,"Franklin-37064"
"Suffolk","23434",45,"Suffolk-23434"
"Hot Springs","71901",3,"Hot Springs-71901"
"Columbia","65203",24,"Columbia-65203"
"El Cajon","92020",4,"El Cajon-92020"
"Rome","13440",31,"Rome-13440"
"Laguna Niguel","92677",4,"Laguna Niguel-92677"
"Lawrence","46226",13,"Lawrence-46226"
"Marion","43302",34,"Marion-43302"
"Newark","43055",34,"Newark-43055"
"Pine Bluff","71603",3,"Pine Bluff-71603"
"East Orange","7017",29,"East Orange-7017"
"Los Angeles","90032",4,"Los Angeles-90032"
"Boca Raton","33433",9,"Boca Raton-33433"
"Atlanta","30318",10,"Atlanta-30318"
"Carrollton","75007",42,"Carrollton-75007"
"San Luis Obispo","93405",4,"San Luis Obispo-93405"
"Riverside","92503",4,"Riverside-92503"
"Westminster","92683",4,"Westminster-92683"
"Thornton","80229",5,"Thornton-80229"
"Decatur","35601",1,"Decatur-35601"
"Pasco","99301",46,"Pasco-99301"
"Kirkwood","63122",24,"Kirkwood-63122"
"Buffalo Grove","60089",12,"Buffalo Grove-60089"
"Huntington Beach","92646",4,"Huntington Beach-92646"
"Murfreesboro","37130",41,"Murfreesboro-37130"
"Long Beach","90805",4,"Long Beach-90805"
"Torrance","90503",4,"Torrance-90503"
"Norwich","6360",6,"Norwich-6360"
"Waterbury","6708",6,"Waterbury-6708"
"Medina","44256",34,"Medina-44256"
"Eugene","97405",36,"Eugene-97405"
"Loveland","80538",5,"Loveland-80538"
"Owensboro","42301",16,"Owensboro-42301"
"Danbury","6810",6,"Danbury-6810"
"Utica","13501",31,"Utica-13501"
"Saint Peters","63376",24,"Saint Peters-63376"
"Melbourne","32935",9,"Melbourne-32935"
"Philadelphia","19120",37,"Philadelphia-19120"
"Kent","44240",34,"Kent-44240"
"Muskogee","74403",35,"Muskogee-74403"
"Whittier","90604",4,"Whittier-90604"
"Philadelphia","19140",37,"Philadelphia-19140"
"Springfield","45503",34,"Springfield-45503"
"Seattle","98115",46,"Seattle-98115"
"Englewood","80112",5,"Englewood-80112"
"Burlington","27217",32,"Burlington-27217"
"Royal Oak","48073",21,"Royal Oak-48073"
"Fairfield","6824",6,"Fairfield-6824"
"Pensacola","32503",9,"Pensacola-32503"
"Virginia Beach","23464",45,"Virginia Beach-23464"
"Warner Robins","31088",10,"Warner Robins-31088"
"Denver","80219",5,"Denver-80219"
"Sacramento","95823",4,"Sacramento-95823"
"Dover","3820",28,"Dover-3820"
"Southaven","38671",23,"Southaven-38671"
"Lansing","48911",21,"Lansing-48911"
"Las Cruces","88001",30,"Las Cruces-88001"
"Belleville","7109",29,"Belleville-7109"
"Hillsboro","97123",36,"Hillsboro-97123"
"Medford","97504",36,"Medford-97504"
"Freeport","11520",31,"Freeport-11520"
"Eagan","55122",22,"Eagan-55122"
"Arlington","76017",42,"Arlington-76017"
"Bakersfield","93309",4,"Bakersfield-93309"
"Dublin","43017",34,"Dublin-43017"
"Park Ridge","60068",12,"Park Ridge-60068"
"Coachella","92236",4,"Coachella-92236"
"Skokie","60076",12,"Skokie-60076"
"Bowling Green","43402",34,"Bowling Green-43402"
"Mission Viejo","92691",4,"Mission Viejo-92691"
"Morgan Hill","95037",4,"Morgan Hill-95037"
"Knoxville","37918",41,"Knoxville-37918"
"Florence","29501",39,"Florence-29501"
"York","17403",37,"York-17403"
"Austin","78745",42,"Austin-78745"
"Mentor","44060",34,"Mentor-44060"
"Charlottesville","22901",45,"Charlottesville-22901"
"Oak Park","48237",21,"Oak Park-48237"
"Orland Park","60462",12,"Orland Park-60462"
"San Diego","92037",4,"San Diego-92037"
"Johnson City","37604",41,"Johnson City-37604"
"Sanford","32771",9,"Sanford-32771"
"Huntsville","35810",1,"Huntsville-35810"
"Elkhart","46514",13,"Elkhart-46514"
"La Quinta","92253",4,"La Quinta-92253"
"Oceanside","92054",4,"Oceanside-92054"
"Beaumont","77705",42,"Beaumont-77705"
"Providence","2908",38,"Providence-2908"
"Palatine","60067",12,"Palatine-60067"
"Memphis","38109",41,"Memphis-38109"
"Woodstock","30188",10,"Woodstock-30188"
"Bloomington","47401",13,"Bloomington-47401"
"Springfield","65807",24,"Springfield-65807"
"San Diego","92024",4,"San Diego-92024"
"Malden","2148",20,"Malden-2148"
"Raleigh","27604",32,"Raleigh-27604"
"Elmhurst","60126",12,"Elmhurst-60126"
"Long Beach","11561",31,"Long Beach-11561"
"Seattle","98105",46,"Seattle-98105"
"Greeley","80634",5,"Greeley-80634"
"Rapid City","57701",40,"Rapid City-57701"
"Brentwood","94513",4,"Brentwood-94513"
"Corpus Christi","78415",42,"Corpus Christi-78415"
"Chapel Hill","27514",32,"Chapel Hill-27514"
"Houston","77041",42,"Houston-77041"
"Indianapolis","46203",13,"Indianapolis-46203"
"Detroit","48205",21,"Detroit-48205"
"Columbus","43229",34,"Columbus-43229"
"Mansfield","76063",42,"Mansfield-76063"
"Bullhead City","86442",2,"Bullhead City-86442"
"Murray","42071",16,"Murray-42071"
"Albuquerque","87105",30,"Albuquerque-87105"
"Lakewood","44107",34,"Lakewood-44107"
"Clifton","7011",29,"Clifton-7011"
"West Allis","53214",48,"West Allis-53214"
"Visalia","93277",4,"Visalia-93277"
"Highland Park","60035",12,"Highland Park-60035"
"Plantation","33317",9,"Plantation-33317"
"Buffalo","14215",31,"Buffalo-14215"
"Alexandria","22304",45,"Alexandria-22304"
"Wilson","27893",32,"Wilson-27893"
"The Colony","75056",42,"The Colony-75056"
"Layton","84041",43,"Layton-84041"
"Normal","61761",12,"Normal-61761"
"Akron","44312",34,"Akron-44312"
"Grand Prairie","75051",42,"Grand Prairie-75051"
"Bedford","76021",42,"Bedford-76021"
"Arlington","22204",45,"Arlington-22204"
"Ontario","91761",4,"Ontario-91761"
"Texas City","77590",42,"Texas City-77590"
"Columbia","38401",41,"Columbia-38401"
"Trenton","48183",21,"Trenton-48183"
"Saint Charles","60174",12,"Saint Charles-60174"
"Bryan","77803",42,"Bryan-77803"
"Broomfield","80020",5,"Broomfield-80020"
"Auburn","98002",46,"Auburn-98002"
"Dearborn","48126",21,"Dearborn-48126"
"Danville","61832",12,"Danville-61832"
"Scottsdale","85254",2,"Scottsdale-85254"
"Chico","95928",4,"Chico-95928"
"Yucaipa","92399",4,"Yucaipa-92399"
"Lincoln Park","48146",21,"Lincoln Park-48146"
"Henderson","89015",27,"Henderson-89015"
"North Las Vegas","89031",27,"North Las Vegas-89031"
"Little Rock","72209",3,"Little Rock-72209"
"Port Saint Lucie","34952",9,"Port Saint Lucie-34952"
"Sparks","89431",27,"Sparks-89431"
"Warwick","2886",38,"Warwick-2886"
"Portland","97206",36,"Portland-97206"
"Watertown","13601",31,"Watertown-13601"
"Lebanon","37087",41,"Lebanon-37087"
"Rockford","61107",12,"Rockford-61107"
"Florence","35630",1,"Florence-35630"
"Cambridge","2138",20,"Cambridge-2138"
"Miami","33142",9,"Miami-33142"
"Amarillo","79109",42,"Amarillo-79109"
"Orlando","32839",9,"Orlando-32839"
"Brownsville","78521",42,"Brownsville-78521"
"Beverly","1915",20,"Beverly-1915"
"Lancaster","93534",4,"Lancaster-93534"
"Temecula","92592",4,"Temecula-92592"
"Santa Fe","87505",30,"Santa Fe-87505"
"Paterson","7501",29,"Paterson-7501"
"Caldwell","83605",11,"Caldwell-83605"
"Morristown","7960",29,"Morristown-7960"
"Salinas","93905",4,"Salinas-93905"
"Charlotte","28205",32,"Charlotte-28205"
"Missoula","59801",25,"Missoula-59801"
"Gastonia","28052",32,"Gastonia-28052"
"Macon","31204",10,"Macon-31204"
"Edmond","73034",35,"Edmond-73034"
"Madison","53711",48,"Madison-53711"
"Redwood City","94061",4,"Redwood City-94061"
"Lindenhurst","11757",31,"Lindenhurst-11757"
"Lehi","84043",43,"Lehi-84043"
"Concord","28027",32,"Concord-28027"
"Summerville","29483",39,"Summerville-29483"
"Houston","77095",42,"Houston-77095"
"Cincinnati","45231",34,"Cincinnati-45231"
"Lewiston","4240",18,"Lewiston-4240"
"Dallas","75220",42,"Dallas-75220"
"Cuyahoga Falls","44221",34,"Cuyahoga Falls-44221"
"Kenosha","53142",48,"Kenosha-53142"
"Round Rock","78664",42,"Round Rock-78664"
"Orange","7050",29,"Orange-7050"
"Oswego","60543",12,"Oswego-60543"
"Lake Forest","92630",4,"Lake Forest-92630"
"Billings","59102",25,"Billings-59102"
"Urbandale","50322",14,"Urbandale-50322"
"Middletown","6457",6,"Middletown-6457"
"Jefferson City","65109",24,"Jefferson City-65109"
"Sheboygan","53081",48,"Sheboygan-53081"
"South Bend","46614",13,"South Bend-46614"
"Lakewood","8701",29,"Lakewood-8701"
"Cranston","2920",38,"Cranston-2920"
"Tinley Park","60477",12,"Tinley Park-60477"
"Chesapeake","23320",45,"Chesapeake-23320"
"League City","77573",42,"League City-77573"
"Boise","83704",11,"Boise-83704"
"Columbia","29203",39,"Columbia-29203"
"Olathe","66062",15,"Olathe-66062"
"Altoona","16602",37,"Altoona-16602"
"Antioch","94509",4,"Antioch-94509"
"Chicago","60623",12,"Chicago-60623"
"Pleasant Grove","84062",43,"Pleasant Grove-84062"
"Chicago","60653",12,"Chicago-60653"
"Des Plaines","60016",12,"Des Plaines-60016"
"Andover","1810",20,"Andover-1810"
"Oak Park","60302",12,"Oak Park-60302"
"Springfield","97477",36,"Springfield-97477"
"Cottage Grove","55016",22,"Cottage Grove-55016"
"Dearborn Heights","48127",21,"Dearborn Heights-48127"
"Daytona Beach","32114",9,"Daytona Beach-32114"
"Wilmington","19805",7,"Wilmington-19805"
"Las Vegas","89115",27,"Las Vegas-89115"
"Montebello","90640",4,"Montebello-90640"
"Rockville","20852",19,"Rockville-20852"
"Grand Rapids","49505",21,"Grand Rapids-49505"
"Allen","75002",42,"Allen-75002"
"Dover","19901",7,"Dover-19901"
"Stockton","95207",4,"Stockton-95207"
"Newark","19711",7,"Newark-19711"
"Romeoville","60441",12,"Romeoville-60441"
"Everett","98208",46,"Everett-98208"
"Concord","94521",4,"Concord-94521"
"Newport News","23602",45,"Newport News-23602"
"Jackson","38301",41,"Jackson-38301"
"Fargo","58103",33,"Fargo-58103"
"Lakewood","90712",4,"Lakewood-90712"
"Deer Park","77536",42,"Deer Park-77536"
"Maple Grove","55369",22,"Maple Grove-55369"
"Woodstock","60098",12,"Woodstock-60098"
"Washington","20016",8,"Washington-20016"
"Escondido","92025",4,"Escondido-92025"
"Lubbock","79424",42,"Lubbock-79424"
"Colorado Springs","80906",5,"Colorado Springs-80906"
"Gulfport","39503",23,"Gulfport-39503"
"Gladstone","64118",24,"Gladstone-64118"
"Rochester","14609",31,"Rochester-14609"
"Troy","12180",31,"Troy-12180"
"Harrisonburg","22801",45,"Harrisonburg-22801"
"Cheyenne","82001",49,"Cheyenne-82001"
"Saint Cloud","56301",22,"Saint Cloud-56301"
"Pompano Beach","33068",9,"Pompano Beach-33068"
"Holyoke","1040",20,"Holyoke-1040"
"Tulsa","74133",35,"Tulsa-74133"
"Parker","80134",5,"Parker-80134"
"Clovis","88101",30,"Clovis-88101"
"Palm Coast","32137",9,"Palm Coast-32137"
"Evanston","60201",12,"Evanston-60201"
"Spokane","99207",46,"Spokane-99207"
"Aberdeen","57401",40,"Aberdeen-57401"
"Pearland","77581",42,"Pearland-77581"
"Vineland","8360",29,"Vineland-8360"
"Atlantic City","8401",29,"Atlantic City-8401"
"Broken Arrow","74012",35,"Broken Arrow-74012"
"La Porte","77571",42,"La Porte-77571"
"Bethlehem","18018",37,"Bethlehem-18018"
"Gaithersburg","20877",19,"Gaithersburg-20877"
"Perth Amboy","8861",29,"Perth Amboy-8861"
"Waterloo","50701",14,"Waterloo-50701"
"Detroit","48227",21,"Detroit-48227"
"Pembroke Pines","33024",9,"Pembroke Pines-33024"
"Commerce City","80022",5,"Commerce City-80022"
"Harlingen","78550",42,"Harlingen-78550"
"Houston","77070",42,"Houston-77070"
"Wheeling","26003",47,"Wheeling-26003"
"Missouri City","77489",42,"Missouri City-77489"
"Pico Rivera","90660",4,"Pico Rivera-90660"
"Bristol","6010",6,"Bristol-6010"
"Manhattan","66502",15,"Manhattan-66502"
"San Marcos","78666",42,"San Marcos-78666"
"Eau Claire","54703",48,"Eau Claire-54703"
"Quincy","62301",12,"Quincy-62301"
"Naperville","60540",12,"Naperville-60540"
"Pasadena","77506",42,"Pasadena-77506"
"Lowell","1852",20,"Lowell-1852"
"Mishawaka","46544",13,"Mishawaka-46544"
"Ormond Beach","32174",9,"Ormond Beach-32174"
"Port Arthur","77642",42,"Port Arthur-77642"
"Allentown","18103",37,"Allentown-18103"
"Jackson","39212",23,"Jackson-39212"
"Twin Falls","83301",11,"Twin Falls-83301"
"Reading","19601",37,"Reading-19601"
"Greensboro","27405",32,"Greensboro-27405"
"Hackensack","7601",29,"Hackensack-7601"
"Hempstead","11550",31,"Hempstead-11550"
"Port Orange","32127",9,"Port Orange-32127"
"Coon Rapids","55433",22,"Coon Rapids-55433"
"Des Moines","98198",46,"Des Moines-98198"
"Costa Mesa","92627",4,"Costa Mesa-92627"
"Rochester Hills","48307",21,"Rochester Hills-48307"
"Richmond","23223",45,"Richmond-23223"
"Margate","33063",9,"Margate-33063"
"Meriden","6450",6,"Meriden-6450"
"Redondo Beach","90278",4,"Redondo Beach-90278"
"Fort Lauderdale","33311",9,"Fort Lauderdale-33311"
"Aurora","80013",5,"Aurora-80013"
"Santa Ana","92704",4,"Santa Ana-92704"
"Shelton","6484",6,"Shelton-6484"
"Baltimore","21215",19,"Baltimore-21215"
"New Brunswick","8901",29,"New Brunswick-8901"
"Seattle","98103",46,"Seattle-98103"
"Toledo","43615",34,"Toledo-43615"
"Marlborough","1752",20,"Marlborough-1752"
"San Bernardino","92404",4,"San Bernardino-92404"
"Franklin","2038",20,"Franklin-2038"
"Asheville","28806",32,"Asheville-28806"
"Elyria","44035",34,"Elyria-44035"
"Rogers","72756",3,"Rogers-72756"
"Saint Louis","63116",24,"Saint Louis-63116"
"Lewiston","83501",11,"Lewiston-83501"
"Baytown","77520",42,"Baytown-77520"
"Revere","2151",20,"Revere-2151"
"Manchester","6040",6,"Manchester-6040"
"Fresno","93727",4,"Fresno-93727"
"Haltom City","76117",42,"Haltom City-76117"
"Auburn","13021",31,"Auburn-13021"
"Frankfort","60423",12,"Frankfort-60423"
"Mcallen","78501",42,"Mcallen-78501"
"Grand Island","68801",26,"Grand Island-68801"
"Cleveland","44105",34,"Cleveland-44105"
"Apple Valley","55124",22,"Apple Valley-55124"
"Delray Beach","33445",9,"Delray Beach-33445"
"San Mateo","94403",4,"San Mateo-94403"
"Thousand Oaks","91360",4,"Thousand Oaks-91360"
"Fairfield","94533",4,"Fairfield-94533"
"Fort Collins","80525",5,"Fort Collins-80525"
"Lafayette","47905",13,"Lafayette-47905"
"Citrus Heights","95610",4,"Citrus Heights-95610"
"Cary","27511",32,"Cary-27511"
"San Clemente","92672",4,"San Clemente-92672"
"Miramar","33023",9,"Miramar-33023"
"New Rochelle","10801",31,"New Rochelle-10801"
"Chicago","60610",12,"Chicago-60610"
"Rock Hill","29730",39,"Rock Hill-29730"
"Hamilton","45011",34,"Hamilton-45011"
"Jackson","49201",21,"Jackson-49201"
"Chattanooga","37421",41,"Chattanooga-37421"
"Oceanside","11572",31,"Oceanside-11572"
"Farmington","87401",30,"Farmington-87401"
"La Porte","46350",13,"La Porte-46350"
"Saint Charles","63301",24,"Saint Charles-63301"
"Lawton","73505",35,"Lawton-73505"
"Yonkers","10701",31,"Yonkers-10701"
"Lancaster","17602",37,"Lancaster-17602"
"Oakland","94601",4,"Oakland-94601"
"Minneapolis","55407",22,"Minneapolis-55407"
"Goldsboro","27534",32,"Goldsboro-27534"
"Garden City","67846",15,"Garden City-67846"
"Freeport","61032",12,"Freeport-61032"
"Tucson","85705",2,"Tucson-85705"
"La Crosse","54601",48,"La Crosse-54601"
"Hesperia","92345",4,"Hesperia-92345"
"New Bedford","2740",20,"New Bedford-2740"
"Coral Springs","33065",9,"Coral Springs-33065"
"Grove City","43123",34,"Grove City-43123"
"Lakeland","33801",9,"Lakeland-33801"
"Odessa","79762",42,"Odessa-79762"
"Draper","84020",43,"Draper-84020"
"Montgomery","36116",1,"Montgomery-36116"
"Vallejo","94591",4,"Vallejo-94591"
"Jupiter","33458",9,"Jupiter-33458"
"Midland","48640",21,"Midland-48640"
"Columbus","31907",10,"Columbus-31907"
"Inglewood","90301",4,"Inglewood-90301"
"Wichita","67212",15,"Wichita-67212"
"Taylor","48180",21,"Taylor-48180"
"Jacksonville","28540",32,"Jacksonville-28540"
"Apopka","32712",9,"Apopka-32712"
"Lodi","95240",4,"Lodi-95240"
"New York City","10024",31,"New York City-10024"
"Laredo","78041",42,"Laredo-78041"
"Dubuque","52001",14,"Dubuque-52001"
"Edmonds","98026",46,"Edmonds-98026"
"New York City","10011",31,"New York City-10011"
"Bowling Green","42104",16,"Bowling Green-42104"
"Santa Clara","95051",4,"Santa Clara-95051"
"New Albany","47150",13,"New Albany-47150"
"Edinburg","78539",42,"Edinburg-78539"
"Richmond","40475",16,"Richmond-40475"
"Nashville","37211",41,"Nashville-37211"
"Arlington Heights","60004",12,"Arlington Heights-60004"
"Keller","76248",42,"Keller-76248"
"Sunnyvale","94086",4,"Sunnyvale-94086"
"San Angelo","76903",42,"San Angelo-76903"
"Springfield","22153",45,"Springfield-22153"
"Redlands","92374",4,"Redlands-92374"
"Lafayette","70506",17,"Lafayette-70506"
"Salem","97301",36,"Salem-97301"
"Greenville","27834",32,"Greenville-27834"
"Lake Elsinore","92530",4,"Lake Elsinore-92530"
"Auburn","36830",1,"Auburn-36830"
"Redmond","98052",46,"Redmond-98052"
"Gresham","97030",36,"Gresham-97030"
"Athens","30605",10,"Athens-30605"
"Bellingham","98226",46,"Bellingham-98226"
"Peoria","85345",2,"Peoria-85345"
"Los Angeles","90004",4,"Los Angeles-90004"
"Vancouver","98661",46,"Vancouver-98661"
"Nashua","3060",28,"Nashua-3060"
"Yuma","85364",2,"Yuma-85364"
"Hialeah","33012",9,"Hialeah-33012"
"Iowa City","52240",14,"Iowa City-52240"
"Roseville","55113",22,"Roseville-55113"
"Anaheim","92804",4,"Anaheim-92804"
"Laurel","20707",19,"Laurel-20707"
"Georgetown","40324",16,"Georgetown-40324"
"Fort Worth","76106",42,"Fort Worth-76106"
"Logan","84321",43,"Logan-84321"
"Santa Maria","93454",4,"Santa Maria-93454"
"Oklahoma City","73120",35,"Oklahoma City-73120"
"Niagara Falls","14304",31,"Niagara Falls-14304"
"La Mesa","91941",4,"La Mesa-91941"
"Kissimmee","34741",9,"Kissimmee-34741"
"Sierra Vista","85635",2,"Sierra Vista-85635"
"Pharr","78577",42,"Pharr-78577"
"Los Angeles","90036",4,"Los Angeles-90036"
"Quincy","2169",20,"Quincy-2169"
"Mount Pleasant","48858",21,"Mount Pleasant-48858"
"Modesto","95351",4,"Modesto-95351"
"Bartlett","38134",41,"Bartlett-38134"
"Chandler","85224",2,"Chandler-85224"
"Saint Petersburg","33710",9,"Saint Petersburg-33710"
"Wheeling","60090",12,"Wheeling-60090"
"Champaign","61821",12,"Champaign-61821"
"Green Bay","54302",48,"Green Bay-54302"
"Fairfield","45014",34,"Fairfield-45014"
"Lakeville","55044",22,"Lakeville-55044"
"Provo","84604",43,"Provo-84604"
"Covington","98042",46,"Covington-98042"
"Bolingbrook","60440",12,"Bolingbrook-60440"
"Great Falls","59405",25,"Great Falls-59405"
"Frisco","75034",42,"Frisco-75034"
"Bristol","37620",41,"Bristol-37620"
"Passaic","7055",29,"Passaic-7055"
"Norman","73071",35,"Norman-73071"
"San Jose","95123",4,"San Jose-95123"
"Tamarac","33319",9,"Tamarac-33319"
"Apple Valley","92307",4,"Apple Valley-92307"
"Jonesboro","72401",3,"Jonesboro-72401"
"Sioux Falls","57103",40,"Sioux Falls-57103"
"Huntsville","77340",42,"Huntsville-77340"
"Westland","48185",21,"Westland-48185"
"Hampton","23666",45,"Hampton-23666"
"Marietta","30062",10,"Marietta-30062"
"Roswell","30076",10,"Roswell-30076"
"Parma","44134",34,"Parma-44134"
"Mount Pleasant","29464",39,"Mount Pleasant-29464"
"Omaha","68104",26,"Omaha-68104"
"Mason","45040",34,"Mason-45040"
"Marion","52302",14,"Marion-52302"
"Salt Lake City","84106",43,"Salt Lake City-84106"
"San Francisco","94122",4,"San Francisco-94122"
"Lawrence","1841",20,"Lawrence-1841"
"Milwaukee","53209",48,"Milwaukee-53209"
"Noblesville","46060",13,"Noblesville-46060"
"Miami","33180",9,"Miami-33180"
"Chula Vista","91911",4,"Chula Vista-91911"
"Aurora","60505",12,"Aurora-60505"
"Chester","19013",37,"Chester-19013"
"Orem","84057",43,"Orem-84057"
"Overland Park","66212",15,"Overland Park-66212"
"Canton","48187",21,"Canton-48187"
"Camarillo","93010",4,"Camarillo-93010"
"Carol Stream","60188",12,"Carol Stream-60188"
"Leominster","1453",20,"Leominster-1453"
"San Antonio","78207",42,"San Antonio-78207"
"Bayonne","7002",29,"Bayonne-7002"
"Springdale","72762",3,"Springdale-72762"
"Wausau","54401",48,"Wausau-54401"
"Bossier City","71111",17,"Bossier City-71111"
"Dublin","94568",4,"Dublin-94568"
"Waukesha","53186",48,"Waukesha-53186"
"Garland","75043",42,"Garland-75043"
"Los Angeles","90008",4,"Los Angeles-90008"
"Mesquite","75150",42,"Mesquite-75150"
"Redding","96003",4,"Redding-96003"
"Pocatello","83201",11,"Pocatello-83201"
"Richardson","75080",42,"Richardson-75080"
"Bloomington","61701",12,"Bloomington-61701"
"Renton","98059",46,"Renton-98059"
"Plano","75023",42,"Plano-75023"
"Durham","27707",32,"Durham-27707"
"Cedar Rapids","52402",14,"Cedar Rapids-52402"
"Detroit","48234",21,"Detroit-48234"
"Tuscaloosa","35401",1,"Tuscaloosa-35401"
"Troy","45373",34,"Troy-45373"
"Cedar Hill","75104",42,"Cedar Hill-75104"
"Sandy Springs","30328",10,"Sandy Springs-30328"
"Murrieta","92563",4,"Murrieta-92563"
"Hagerstown","21740",19,"Hagerstown-21740"
"Ann Arbor","48104",21,"Ann Arbor-48104"
"Clarksville","37042",41,"Clarksville-37042"
"Westfield","7090",29,"Westfield-7090"
"San Diego","92105",4,"San Diego-92105"
"Mesa","85204",2,"Mesa-85204"
"Fayetteville","28314",32,"Fayetteville-28314"
"San Gabriel","91776",4,"San Gabriel-91776"
"Arvada","80004",5,"Arvada-80004"
"Superior","54880",48,"Superior-54880"
"Sterling Heights","48310",21,"Sterling Heights-48310"
"Rio Rancho","87124",30,"Rio Rancho-87124"
"Houston","77036",42,"Houston-77036"
"Appleton","54915",48,"Appleton-54915"
"Peoria","61604",12,"Peoria-61604"
"Homestead","33030",9,"Homestead-33030"
"San Francisco","94110",4,"San Francisco-94110"
"Vacaville","95687",4,"Vacaville-95687"
"Fremont","68025",26,"Fremont-68025"
"Philadelphia","19143",37,"Philadelphia-19143"
"Rochester","55901",22,"Rochester-55901"
"Helena","59601",25,"Helena-59601"
"Irving","75061",42,"Irving-75061"
"Mount Vernon","10550",31,"Mount Vernon-10550"
"Tampa","33614",9,"Tampa-33614"
"Monroe","71203",17,"Monroe-71203"
"Milford","6460",6,"Milford-6460"
"Avondale","85323",2,"Avondale-85323"
"Linden","7036",29,"Linden-7036"
"Reno","89502",27,"Reno-89502"
"Bellevue","98006",46,"Bellevue-98006"
"Los Angeles","90045",4,"Los Angeles-90045"
"Woonsocket","2895",38,"Woonsocket-2895"
"Lake Charles","70601",17,"Lake Charles-70601"
"Meridian","83642",11,"Meridian-83642"
"Tempe","85281",2,"Tempe-85281"
"New York City","10009",31,"New York City-10009"
"Philadelphia","19134",37,"Philadelphia-19134"
"Pomona","91767",4,"Pomona-91767"
"Saginaw","48601",21,"Saginaw-48601"
"Gilbert","85234",2,"Gilbert-85234"
"Glenview","60025",12,"Glenview-60025"
"Santa Barbara","93101",4,"Santa Barbara-93101"
"Bozeman","59715",25,"Bozeman-59715"
"El Paso","79907",42,"El Paso-79907"
"Waco","76706",42,"Waco-76706"
"Smyrna","30080",10,"Smyrna-30080"
"Waynesboro","22980",45,"Waynesboro-22980"
"Miami","33178",9,"Miami-33178"
"Kenner","70065",17,"Kenner-70065"
"Hattiesburg","39401",23,"Hattiesburg-39401"
"West Jordan","84084",43,"West Jordan-84084"
